epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7815,2.21254,3.32412,1.53862,1,0.23316,0.61657,0.55129,2.07028,3.54776,1.28246,0.00048,0.00048,0.00048
2,27.5974,1.95667,2.26699,1.29589,1,0.29534,0.64765,0.5746,2.00885,3.12863,1.2304,0.0006566,0.0006566,0.0006566
3,41.2796,2.02221,1.97516,1.25509,1,0.39896,0.69947,0.60103,1.95976,2.72214,1.16123,0.0005032,0.0005032,0.0005032
