epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1663.53,1.4372,0.72006,0.97917,0.82613,0.54736,0.62505,0.34239,1.37182,0.63244,0.98649,0.005743,0.005743,0.005743
45,1700.8,1.42593,0.7114,0.97881,0.82718,0.54677,0.62555,0.34244,1.37455,0.63285,0.98494,0.005644,0.005644,0.005644
46,1738.27,1.44117,0.72172,0.98016,0.8291,0.55056,0.62836,0.34477,1.36857,0.6291,0.98502,0.005545,0.005545,0.005545
47,1775.69,1.44177,0.71778,0.97536,0.83238,0.55121,0.62878,0.34456,1.36591,0.62765,0.98241,0.005446,0.005446,0.005446
48,1812.91,1.43967,0.71644,0.97774,0.82995,0.54969,0.62798,0.34257,1.37144,0.62837,0.98583,0.005347,0.005347,0.005347
49,1848.94,1.42156,0.70956,0.97355,0.83613,0.54984,0.63132,0.34664,1.36375,0.62572,0.98406,0.005248,0.005248,0.005248
50,1884.78,1.41891,0.7053,0.97736,0.83248,0.55092,0.62934,0.34466,1.36536,0.62214,0.98337,0.005149,0.005149,0.005149
51,1920.99,1.42174,0.71116,0.98017,0.83174,0.54651,0.62815,0.34418,1.36568,0.62256,0.98507,0.00505,0.00505,0.00505
52,1957.1,1.41944,0.70635,0.97508,0.83469,0.55112,0.63203,0.3471,1.36291,0.62157,0.98366,0.004951,0.004951,0.004951
53,1993.88,1.4249,0.70682,0.9762,0.82495,0.55651,0.63339,0.34884,1.35847,0.62004,0.98251,0.004852,0.004852,0.004852
54,2030.07,1.41587,0.70027,0.97656,0.8281,0.55524,0.63297,0.34688,1.36266,0.62067,0.98356,0.004753,0.004753,0.004753
55,2065.95,1.42005,0.70308,0.97138,0.8332,0.55187,0.63203,0.347,1.36082,0.61732,0.98215,0.004654,0.004654,0.004654
56,2100.59,1.40503,0.69424,0.97029,0.83144,0.55313,0.63236,0.34592,1.36314,0.61733,0.98311,0.004555,0.004555,0.004555
57,2138.47,1.40975,0.69617,0.972,0.83351,0.55469,0.63506,0.34864,1.36075,0.61547,0.98301,0.004456,0.004456,0.004456
58,2174.2,1.40256,0.6908,0.96937,0.83404,0.55404,0.63428,0.34751,1.36168,0.61539,0.9834,0.004357,0.004357,0.004357
59,2210.83,1.41185,0.69373,0.97089,0.83244,0.55498,0.63499,0.349,1.36034,0.61375,0.98257,0.004258,0.004258,0.004258
60,2247.3,1.39532,0.68784,0.9691,0.83353,0.55373,0.63482,0.34816,1.35961,0.6146,0.98187,0.004159,0.004159,0.004159
61,2284.93,1.39853,0.68817,0.96811,0.83132,0.5567,0.63651,0.34944,1.35909,0.61189,0.98109,0.00406,0.00406,0.00406
62,2321.98,1.38746,0.68157,0.96284,0.83841,0.55596,0.63852,0.35101,1.35848,0.61126,0.98153,0.003961,0.003961,0.003961
63,2358.81,1.39898,0.68825,0.9679,0.83796,0.55589,0.6371,0.35037,1.35932,0.61053,0.98238,0.003862,0.003862,0.003862
64,2395.63,1.40119,0.68574,0.9635,0.83464,0.55444,0.63597,0.34934,1.35984,0.61082,0.98211,0.003763,0.003763,0.003763
65,2433.34,1.40057,0.68295,0.96711,0.83562,0.55582,0.63794,0.35127,1.35828,0.61013,0.9821,0.003664,0.003664,0.003664
66,2470.91,1.39415,0.68219,0.96574,0.83572,0.55648,0.63761,0.35109,1.35868,0.60903,0.98164,0.003565,0.003565,0.003565
67,2507.28,1.39255,0.68098,0.96316,0.83721,0.55733,0.63808,0.35084,1.35891,0.60748,0.98178,0.003466,0.003466,0.003466
68,2543.6,1.37569,0.67216,0.96314,0.83746,0.5573,0.63793,0.35021,1.36076,0.60605,0.98148,0.003367,0.003367,0.003367
69,2581.4,1.38997,0.67852,0.95956,0.83368,0.56034,0.63916,0.35131,1.35836,0.60592,0.98058,0.003268,0.003268,0.003268
70,2618.2,1.37919,0.67083,0.96021,0.83005,0.56047,0.63871,0.35079,1.35911,0.60601,0.98049,0.003169,0.003169,0.003169
71,2655.07,1.3749,0.66397,0.95989,0.83263,0.56064,0.63965,0.35069,1.36095,0.607,0.98153,0.00307,0.00307,0.00307
72,2691.42,1.37313,0.66958,0.96172,0.83354,0.56154,0.64027,0.35106,1.35988,0.60472,0.98194,0.002971,0.002971,0.002971
